Date,High,Low,Open,Close,Volume,Adj Close
1998-05-15,22.5,21.5,22.5,22.0,69200,18.533004760742188
1998-05-18,22.125,21.0,22.0,21.5,53200,18.111793518066406
1998-05-19,22.0,21.5,21.5,22.0,21000,18.533004760742188
1998-05-20,22.0,21.0,22.0,21.0,14100,17.690595626831055
1998-05-21,21.125,19.5,21.0,21.125,116400,17.7958927154541
1998-05-22,20.75,20.25,20.75,20.625,45100,17.37468910217285
1998-05-26,21.0,19.125,20.625,19.5,119500,16.42698097229004
1998-05-27,19.5,18.75,19.5,19.25,91100,16.21637725830078
1998-05-28,20.5,18.75,19.25,20.5,163600,17.269384384155273
1998-05-29,22.5,20.5,20.5,22.5,121900,18.954208374023438
1998-06-01,22.5,22.0,22.5,22.125,258500,18.6382999420166
1998-06-02,22.5,22.125,22.125,22.375,123400,18.848907470703125
1998-06-03,22.5,20.75,22.375,20.75,180600,17.479990005493164
1998-06-04,21.0,20.0,20.75,20.75,263200,17.479990005493164
1998-06-05,23.0,21.0,21.0,22.875,290100,19.270109176635742
1998-06-08,23.625,22.5,23.25,23.0,2718000,19.375408172607422
1998-06-09,23.0,22.0,23.0,22.375,604900,18.848907470703125
1998-06-10,23.125,22.5,22.5,22.875,149300,19.270109176635742
1998-06-11,23.0625,22.5625,22.875,23.0,697400,19.375408172607422
1998-06-12,23.0,22.375,23.0,22.5625,782000,19.006853103637695
1998-06-15,22.9375,21.875,22.9375,21.875,165900,18.427701950073242
1998-06-16,22.0,21.75,21.9375,21.75,95000,18.322397232055664
1998-06-17,21.9375,21.5,21.9375,21.9375,57400,18.4803524017334
1998-06-18,21.9375,21.375,21.9375,21.5,588700,18.111793518066406
1998-06-19,21.375,21.0625,21.125,21.1875,698100,17.84854507446289
1998-06-22,21.375,20.625,21.0,21.125,159500,17.7958927154541
1998-06-23,22.75,21.625,21.875,22.5,234000,18.954208374023438
1998-06-24,23.0625,22.5,22.5,23.0,275900,19.375408172607422
1998-06-25,23.625,22.6875,23.0,23.0,223500,19.375408172607422
1998-06-26,23.625,23.125,23.25,23.375,115800,19.691316604614258
1998-06-29,23.1875,21.625,23.125,22.875,188900,19.270109176635742
1998-06-30,24.9375,22.6875,22.9375,24.9375,566300,21.00758171081543
1998-07-01,25.625,24.375,25.0,24.6875,449600,20.79697608947754
1998-07-02,24.6875,24.0,24.0,24.0,5141900,20.217817306518555
1998-07-06,25.3125,24.1875,24.25,25.25,991100,21.270828247070312
1998-07-07,27.0,25.625,26.0625,25.875,1096000,21.797332763671875
1998-07-08,27.25,26.125,26.125,26.5,431200,22.323843002319336
1998-07-09,27.125,25.625,26.5,25.9375,659300,21.849987030029297
1998-07-10,26.625,25.75,26.125,26.25,334700,22.113239288330078
1998-07-13,27.3125,26.6875,26.9375,27.25,429600,22.955652236938477
1998-07-14,27.375,26.0,27.0,26.125,509200,22.007938385009766
1998-07-15,27.0,26.25,26.625,26.9375,225800,22.692398071289062
1998-07-16,27.375,26.5,27.375,26.9375,233300,22.692398071289062
1998-07-17,27.4375,26.375,26.875,27.0,479300,22.745046615600586
1998-07-20,27.4375,26.5625,26.75,27.0625,244800,22.797704696655273
1998-07-21,28.125,27.25,27.5625,27.4375,575300,23.113603591918945
1998-07-22,28.125,27.5,27.8125,27.75,630200,23.376850128173828
1998-07-23,28.5,27.75,28.0,28.0,496100,23.58745002746582
1998-07-24,28.625,27.25,27.875,27.875,245300,23.482152938842773
1998-07-27,27.625,26.375,27.625,26.5625,280600,22.376493453979492
1998-07-28,27.25,26.0,26.625,26.25,421600,22.113239288330078
1998-07-29,26.75,26.25,26.375,26.25,268000,22.113239288330078
1998-07-30,26.375,25.75,26.0,25.875,208200,21.797332763671875
1998-07-31,26.125,24.0,26.0,24.0,335600,20.217817306518555
1998-08-03,24.9375,24.0,24.0,24.9375,214700,21.00758171081543
1998-08-04,24.625,22.5,24.5,23.0,654300,19.375408172607422
1998-08-05,23.625,22.375,23.25,22.5,446700,18.954208374023438
1998-08-06,23.5,22.5,22.5,22.875,582600,19.270109176635742
1998-08-07,24.75,23.0,23.375,23.0,197300,19.375408172607422
1998-08-10,23.5,22.875,23.0,23.25,286500,19.58601188659668
1998-08-11,22.75,22.0,22.375,22.75,231200,19.164810180664062
1998-08-12,24.375,23.3125,23.5,24.0625,555700,20.27046775817871
1998-08-13,24.9375,23.75,23.875,24.125,171600,20.323118209838867
1998-08-14,24.4375,23.5,24.25,23.5625,62600,19.849266052246094
1998-08-17,24.0,23.1875,23.6875,23.1875,107100,19.533357620239258
1998-08-18,23.375,22.25,23.375,22.3125,111600,18.79625129699707
1998-08-19,22.5,20.375,22.3125,20.75,213100,17.479990005493164
1998-08-20,20.75,19.75,20.75,20.125,834700,16.953487396240234
1998-08-21,20.25,19.5,20.0,20.25,462900,17.058786392211914
1998-08-24,20.375,19.9375,20.1875,20.0,124100,16.848180770874023
1998-08-25,20.375,19.875,20.1875,20.0,314800,16.848180770874023
1998-08-26,20.0,19.0625,20.0,19.5,438900,16.42698097229004
1998-08-27,18.625,17.25,18.625,18.0625,525400,15.216014862060547
1998-08-28,18.75,16.75,18.25,17.0,453600,14.320956230163574
1998-08-31,17.1875,14.375,17.0,15.75,412700,13.2679443359375
1998-09-01,17.0,15.5,16.0,17.0,363300,14.320956230163574
1998-09-02,19.625,17.0,17.0,19.25,813400,16.21637725830078
1998-09-03,19.25,18.5,18.5,18.875,444100,15.900476455688477
1998-09-04,18.6875,18.0625,18.5,18.625,78000,15.689867973327637
1998-09-08,20.1875,19.875,20.125,20.0,922600,16.848180770874023
1998-09-09,21.0625,19.75,19.75,20.875,394600,17.585294723510742
1998-09-10,21.0,19.9375,20.625,21.0,483700,17.690595626831055
1998-09-11,22.375,20.625,20.75,22.125,281400,18.6382999420166
1998-09-14,23.75,22.5625,23.0,23.0,231600,19.375408172607422
1998-09-15,22.9375,22.375,22.75,22.9375,816000,19.322757720947266
1998-09-16,23.375,22.375,23.1875,23.25,1176700,19.58601188659668
1998-09-17,22.875,22.0,22.875,22.3125,221200,18.79625129699707
1998-09-18,22.5,21.375,22.5,22.1875,104200,18.690954208374023
1998-09-21,22.125,21.125,21.125,22.125,137800,18.6382999420166
1998-09-22,22.375,22.0,22.1875,22.125,250200,18.6382999420166
1998-09-23,22.8125,22.125,22.1875,22.6875,274000,19.112159729003906
1998-09-24,23.0,22.5625,22.5625,23.0,131300,19.375408172607422
1998-09-25,23.0,22.625,22.875,22.875,115200,19.270109176635742
1998-09-28,23.25,22.75,22.875,22.875,81300,19.270109176635742
1998-09-29,23.0625,22.5,22.75,23.0,182800,19.375408172607422
1998-09-30,25.5,23.0,23.0,25.5,613900,21.481430053710938
1998-10-01,24.75,23.75,24.5,24.4375,438100,20.58637046813965
1998-10-02,24.5,23.40625,24.375,23.4375,264700,19.74396514892578
1998-10-05,23.25,19.25,23.25,20.0,309200,16.848180770874023
1998-10-06,20.0,18.3125,20.0,18.375,338800,15.479268074035645
1998-10-07,18.6875,14.25,18.6875,15.9375,791300,13.425895690917969
1998-10-08,15.125,13.8125,14.5,14.375,744700,12.109630584716797
1998-10-09,15.625,13.25,15.0,13.5,1260000,11.372523307800293
1998-10-12,16.625,14.875,14.875,16.375,762800,13.794452667236328
1998-10-13,16.4375,16.125,16.375,16.25,339300,13.689149856567383
1998-10-14,17.125,16.25,16.25,17.0,240700,14.320956230163574
1998-10-15,18.875,17.0,17.0,18.75,361000,15.795170783996582
1998-10-16,19.375,18.75,19.125,18.875,264500,15.900476455688477
1998-10-19,19.125,18.6875,19.0,18.875,175900,15.900476455688477
1998-10-20,19.375,18.625,18.9375,18.8125,479800,15.847823143005371
1998-10-21,20.75,18.875,18.9375,20.0,250000,16.848180770874023
1998-10-22,20.9375,19.75,20.25,20.875,94500,17.585294723510742
1998-10-23,21.625,20.25,20.875,20.625,164400,17.37468910217285
1998-10-26,21.5,20.25,20.5,21.375,131700,18.006492614746094
1998-10-27,22.5,21.4375,21.75,21.875,304500,18.427701950073242
1998-10-28,22.375,21.875,22.0,22.25,66000,18.743606567382812
1998-10-29,22.25,20.875,22.1875,20.875,64300,17.585294723510742
1998-10-30,22.125,20.875,20.9375,21.875,164400,18.427701950073242
1998-11-02,22.25,21.5,21.5,22.25,125800,18.743606567382812
1998-11-03,22.0,20.75,22.0,20.75,103700,17.479990005493164
1998-11-04,21.4375,20.875,20.9375,21.3125,105500,17.953845977783203
1998-11-05,21.4375,20.625,21.3125,20.9375,81500,17.637941360473633
1998-11-06,21.0,20.75,21.0,20.75,172100,17.479990005493164
1998-11-09,20.875,19.625,20.875,19.75,160800,16.637582778930664
1998-11-10,20.125,19.25,19.625,19.875,354300,16.742877960205078
1998-11-11,20.0,19.4375,19.9375,19.4375,74000,16.374332427978516
1998-11-12,20.0,17.625,19.1875,18.25,758700,15.373963356018066
1998-11-13,19.0,18.0,18.0,19.0,527000,16.00577163696289
1998-11-16,22.8125,19.0,19.0,22.5,1308400,18.954208374023438
1998-11-17,23.625,21.625,22.5625,22.0,456400,18.533004760742188
1998-11-18,22.25,20.875,21.8125,21.875,273800,18.427701950073242
1998-11-19,22.75,21.5625,21.625,22.6875,157300,19.112159729003906
1998-11-20,22.9375,22.125,22.9375,22.8125,135900,19.217458724975586
1998-11-23,24.0,22.75,23.0625,23.5625,463200,19.849266052246094
1998-11-24,24.5625,23.4375,23.75,24.4375,402600,20.58637046813965
1998-11-25,24.5,23.3125,24.5,23.3125,142400,19.63866424560547
1998-11-27,23.625,23.25,23.4375,23.4375,111300,19.74396514892578
1998-11-30,23.5,22.9375,23.4375,23.125,207400,19.4807186126709
1998-12-01,23.9375,22.625,23.0,23.75,262900,20.00721549987793
1998-12-02,24.5625,23.375,23.75,24.0,197800,20.217817306518555
1998-12-03,25.25,24.0,24.0,24.0625,160300,20.27046775817871
1998-12-04,25.5,24.0625,24.0625,25.4375,229100,21.428781509399414
1998-12-07,26.375,25.3125,25.6875,26.375,369700,22.21854591369629
1998-12-08,26.25,25.375,26.25,25.625,341700,21.58673858642578
1998-12-09,25.875,25.625,25.75,25.75,87500,21.692039489746094
1998-12-10,25.8125,25.5625,25.75,25.75,167700,21.692039489746094
1998-12-11,25.8125,25.4375,25.625,25.8125,110200,21.744691848754883
1998-12-14,25.6875,24.375,25.6875,24.375,241400,20.533721923828125
1998-12-15,25.0,24.0,24.625,24.0,514500,20.217817306518555
1998-12-16,24.25,23.125,24.25,23.9375,69200,20.1651668548584
1998-12-17,25.125,23.875,23.9375,25.125,559600,21.165536880493164
1998-12-18,26.125,24.625,24.75,25.625,241200,21.58673858642578
1998-12-21,27.1875,26.4375,26.75,26.5,400200,22.323843002319336
1998-12-22,26.625,25.5,26.5,26.0,268000,21.902639389038086
1998-12-23,27.25,26.0,26.0,27.25,281700,22.955652236938477
1998-12-24,27.375,27.0,27.25,27.3125,73400,23.00830078125
1998-12-28,28.5,27.375,27.375,28.5,199500,24.0086612701416
1998-12-29,29.125,28.0,28.375,28.75,164200,24.219261169433594
1998-12-30,29.1875,28.25,28.5,29.0625,354800,24.48251724243164
1998-12-31,29.625,28.875,29.3125,29.5625,218900,24.903722763061523
1999-01-04,29.5,28.5,29.5,28.75,390800,24.219261169433594
1999-01-05,28.8125,27.75,28.75,28.1875,307900,23.745407104492188
1999-01-06,28.8125,28.1875,28.3125,28.8125,343700,24.271915435791016
1999-01-07,28.625,28.0,28.0,28.625,227400,24.113962173461914
1999-01-08,29.375,27.5,28.375,28.125,290100,23.692760467529297
1999-01-11,28.0,27.5,27.875,27.6875,111800,23.324207305908203
1999-01-12,28.0,27.375,27.9375,27.8125,365100,23.429502487182617
1999-01-13,27.75,26.5,27.3125,27.1875,210800,22.903003692626953
1999-01-14,27.3125,25.625,27.25,27.0625,450700,22.797704696655273
1999-01-15,28.25,26.75,27.0,28.25,155400,23.798059463500977
1999-01-19,29.9375,28.0,28.0,29.875,286400,25.166975021362305
1999-01-20,30.25,29.0,30.0,29.8125,262900,25.114320755004883
1999-01-21,30.25,27.875,30.0,28.375,553600,23.90336036682129
1999-01-22,28.125,27.5,28.125,27.5625,92900,23.21890640258789
